t_pmid,t_year,t_journal,t_future_work,followup_pmid,followup_year,followup_match_text,match_type,confidence_0to1,notes
26198993,2015,Support Care Cancer,"Additional research is needed to translate these findings into interventions that improve the dermatologic quality of life of breast cancer patients undergoing chemotherapy.",34728262,2021,"Tailored moisturizer for reducing chemotherapy-induced skin dryness in breast cancer patients (RCT).",direct_continuation,0.85,"Same group moves from objective skin-composition cohort to an RCT of a topical intervention targeting the exact dryness/sebum signal identified in 26198993."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",31338640,2019,"Pilot RCT of topical CG428 lotion for PCIA, using objective bioengineering hair density/thickness measurements in breast cancer survivors averaging 3.5 years post-chemotherapy.",direct_continuation,0.85,"Same group, same population, same objective measurement device; converts the 2018 cohort's call for interventions into a pilot RCT."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",38843479,2024,"Scalp cooling RCT against PCIA at 6 months post-chemo using Folliscope hair density/thickness and CADS distress.",direct_continuation,0.9,"Directly answers the cohort's call for an interdisciplinary preventive intervention with objective endpoints; same SMC team."
30120165,2018,Ann Oncol,"Establish pathobiological mechanisms of PCIA, develop precise tools for subjective PCIA assessment, conduct larger studies on the effects of hormone therapy and different chemotherapy regimens, and design interdisciplinary supportive-care strategies (oncology, hair biology, dermatology, psychooncology).",40008373,2025,"FINE-GL development and validation - a condition-specific PROM following COSMIN for facial-line distress; same instrument-development pattern earlier applied to CIA/CADS.",methodology_followup,0.5,"Indirect: the 2018 cohort asks for 'precise tools for subjective PCIA assessment'; FINE-GL is a different facial-line PROM but uses the same condition-specific PROM-development pipeline the group then extended to alopecia distress; lower confidence because direct PCIA-PROM successor is CADS not FINE-GL."
31338640,2019,J Cancer Surviv,not stated,,,,,,No future_work statement extracted.
28233366,2017,Asian Pac J Cancer Prev,"Help breast cancer survivors set proper life goals as a potentially beneficial intervention for those experiencing persistent QoL issues during the reentry period.",34368886,2021,"Mind-and-body education RCT in young breast cancer patients to improve body image, sexual functioning, and emotional outcomes.",parallel_question,0.45,"Partial overlap: both target the reentry/early-survivorship psychosocial period, but 34368886 is appearance- and mind-control-focused rather than a hope/purpose intervention; weak conceptual continuity."
28262081,2017,Eur J Cancer Care,"Healthcare professionals should acknowledge long-term effects of altered appearance among breast cancer survivors and help them manage the associated distress and psychological consequences.",34368886,2021,"Mind-and-body education RCT improved body image and reduced distress from altered appearance at 6 months in young breast cancer patients.",direct_continuation,0.8,"34368886 explicitly delivers a structured intervention addressing altered-appearance distress, matching the 2017 paper's call."
28262081,2017,Eur J Cancer Care,"Healthcare professionals should acknowledge long-term effects of altered appearance among breast cancer survivors and help them manage the associated distress and psychological consequences.",38843479,2024,"Scalp cooling RCT reduces CADS-measured CIA distress and PCIA incidence at 6 months.",methodology_followup,0.6,"Same group's altered-appearance distress program; scalp cooling is the preventive intervention arm of the broader altered-appearance management call."
29121713,2017,Korean J Intern Med,"Larger studies to identify risk factors in long-term NHL survivors, embed routine symptom and psychosocial monitoring in survivorship care, and test psychological interventions (MBSR, MBCT, ACT) to reduce fear of relapse.",34907177,2021,"Nationwide cohort of NHL risk in breast cancer survivors; risk-factor characterization in a much larger NHL population (incident NHL cases from K-NHIS).",same_data_extension,0.4,"Partial: scales up sample size for NHL risk identification but in BC-to-NHL direction rather than in NHL survivorship; weak match."
29121713,2017,Korean J Intern Med,"Larger studies to identify risk factors in long-term NHL survivors, embed routine symptom and psychosocial monitoring in survivorship care, and test psychological interventions (MBSR, MBCT, ACT) to reduce fear of relapse.",35209702,2022,"CaSUN-K psychometric validation among Korean NSCLC survivors; concern about cancer recurrence was the most frequently reported unmet need (77%).",methodology_followup,0.45,"Operationalizes the call for routine PRO-based monitoring of fear of relapse in another non-breast-cancer survivor group; tool rather than intervention."
31913326,2020,Sci Rep,"Prospective studies and interventional trials testing stress management on metabolic abnormalities and NAFLD, and mechanistic studies on sex- and obesity-related differences in stress response.",,,,,,No clear self-followup in this 46-paper corpus (other NAFLD/stress work likely sits outside the bibliography window).
32410403,2020,Int J Environ Res Public Health,"More attention is needed to evaluate and improve HRQoL of HCC patients given rising HCC incidence and survivorship, particularly long-term survivors and supportive-care interventions, which remain understudied.",,,,,,No HCC-specific followup paper in the corpus.
33241506,2020,Support Care Cancer,"Evaluate body image after HSCT routinely and develop appropriate interventions to prevent further psychological consequences.",,,,,,No HSCT-specific intervention followup in the corpus.
33299030,2020,Sci Rep,not stated,,,,,,Erratum; no future_work.
33848414,2021,Cancer Res Treat,"Investigate hierarchical/multidimensional models of depression and anxiety to build more efficient computer adaptive tests, and conduct test-retest reliability studies in broader Korean cancer populations.",34795924,2021,"K-PROMIS-29 V2.1 validated in CPD patients with similar EFA observation that anxiety/fatigue merged into one factor.",direct_continuation,0.85,"Direct extension of the same group's K-PROMIS-29 validation pipeline to a non-cancer disease group; replicates the negative-affect factor-merging finding flagged for future investigation."
33848414,2021,Cancer Res Treat,"Investigate hierarchical/multidimensional models of depression and anxiety to build more efficient computer adaptive tests, and conduct test-retest reliability studies in broader Korean cancer populations.",35209702,2022,"CaSUN-K psychometric validation among Korean NSCLC survivors via the same translation/EFA/CFA pipeline.",methodology_followup,0.6,"Same psychometric validation template applied to a new unmet-needs instrument in NSCLC; parallel methodology rather than CAT-development."
33848414,2021,Cancer Res Treat,"Investigate hierarchical/multidimensional models of depression and anxiety to build more efficient computer adaptive tests, and conduct test-retest reliability studies in broader Korean cancer populations.",39126264,2024,"MRI-DS development/validation following COSMIN for breast-MRI-specific distress in a Korean cancer-screening population.",methodology_followup,0.5,"Same COSMIN/EFA/CFA template extended to a new condition-specific PROM."
34507971,2021,Cancers (Basel),"Women with risk factors should receive mammography more frequently, and additional screening modalities should be considered when extremely dense breast tissue persists across menopause.",,,,,,No screening-policy or imaging followup in the corpus.
34728262,2021,RCT abstract only,not stated,,,,,,No future_work.
34795924,2021,Health Qual Life Outcomes,"Generate more data on how K-PROMIS-29 scores should be summarized and interpreted for CPD patients in clinical care; conduct additional cognitive interviews to clarify the anxiety/fatigue and sleep subdomain structure; promote routine use of K-PROMIS-29 in CPD research and clinical practice.",,,,,,No CPD-PROMIS followup in the corpus.
34907177,2021,Breast,"Develop surveillance guidelines to screen for NHL in breast cancer patients, especially young patients and those receiving hormone therapy; further mechanistic studies of estrogen and androgen pathways in lymphomagenesis; future studies after sufficient follow-up of breast-reconstruction (implant) cohorts for BIA-ALCL.",41572547,2025,"K-NHIS target trial emulation of AR vs IBR breast reconstruction and long-term mental disorder risk (does not analyze BIA-ALCL but uses the implant/AR cohort architecture called for here).",parallel_question,0.4,"Implant-reconstruction cohort architecture the 2021 paper called for is now built; outcome of interest shifted to mental disorders rather than ALCL, so only partial."
34368886,2021,Asian Pac J Cancer Prev,not stated,,,,,,No future_work.
35174421,2022,Support Care Cancer,"Inform survivors of the financial implications of cancer care so they can prepare financially as needed.",35209702,2022,"CaSUN-K identified a novel 'financial issues' dimension as a top unmet need in Korean NSCLC survivors (financial issues including hospital parking).",parallel_question,0.5,"Same financial-toxicity construct surfaces in a tool-validation context shortly after; not a direct self-followup but converges on the financial-needs question."
35209702,2022,Cancer Res Treat,"Develop additional CaSUN-K items measuring relationships with family members, friends, and co-workers; use CaSUN-K to design timely, targeted supportive interventions for Korean NSCLC survivors.",,,,,,No CaSUN-K extension paper in the corpus.
35361864,2022,Br J Cancer,"Define optimal strategies for prevention, early detection, and management of chronic conditions after breast cancer; incorporate surveillance and prevention into survivorship care; further study the impact of chemotherapy and hormone therapy on thyroid disorders.",40294950,2025,"K-NHIS LDL post-PCI outcomes study using the same nationwide claims + screening linkage template; addresses cardiovascular surveillance among the chronic-disease set the 2022 paper flagged.",methodology_followup,0.45,"Same data infrastructure and methodology family; not a direct breast-cancer chronic-disease follow-up."
35361864,2022,Br J Cancer,"Define optimal strategies for prevention, early detection, and management of chronic conditions after breast cancer; incorporate surveillance and prevention into survivorship care; further study the impact of chemotherapy and hormone therapy on thyroid disorders.",41572547,2025,"K-NHIS reconstruction-and-mental-disorder cohort; extends post-breast-cancer chronic-condition surveillance into psychiatric outcomes among breast cancer patients.",direct_continuation,0.65,"Direct extension of post-breast-cancer chronic-condition surveillance to mental health outcomes using the same data backbone."
36008854,2022,Eur J Cancer Care,"Conduct prospective longitudinal studies to confirm findings; design public campaigns to reduce workplace cancer stigma; develop occupational-healthcare systems and multidisciplinary RTW programs that combine occupational counseling with supervised physical exercise.",36397237,2022,"START multi-center RCT of a self-assessment/tailored-information/lifestyle intervention to support return to work in newly diagnosed cancer patients.",direct_continuation,0.9,"Same author program; the START RCT operationalizes the multidisciplinary RTW program the 36008854 paper calls for."
36397237,2022,Support Care Cancer,"Develop an online/digital RTW education program accessible irrespective of time and place; conduct larger trials focused on patients not working at baseline; test in different settings.",,,,,,No online/digital RTW followup in the corpus.
36512301,2022,Oral Oncol,not stated,,,,,,No future_work.
36884274,2023,JMIR Cancer,"Holistic, multi-symptom monitoring and management strategies based on comprehensive PROs are needed in routine care, and the approach of linking routinely collected PROs to large population-based health care databases should be expanded.",38484885,2024,"Target trial emulation of routine supportive care effect on mortality using kiosk-based distress screening data linked to clinical outcomes.",direct_continuation,0.85,"Implements the PRO-to-population-database linkage paradigm; same SMC supportive-care line of work."
36884274,2023,JMIR Cancer,"Holistic, multi-symptom monitoring and management strategies based on comprehensive PROs are needed in routine care, and the approach of linking routinely collected PROs to large population-based health care databases should be expanded.",40627066,2025,"BIG-S cohort profile explicitly integrates EMR + ICHOM PROs + healthcare utilization records in an Asian breast cancer survivor cohort.",direct_continuation,0.85,"BIG-S realizes the proposed PRO-EMR-utilization integration at scale."
36942579,2022,BMC Womens Health,"Identifying risk factors of divorce will help ascertain the resources necessary for early psychosocial intervention in breast cancer survivors.",,,,,,No divorce-intervention followup in the corpus.
37309655,2023,JMIR Med Inform,"Further studies in other cancer survivor populations are needed to confirm generalizability, and future research should focus on developing and testing interventions for physical function, fatigue, and hope-promoting psychosocial care across the survivorship trajectory.",40627066,2025,"BIG-S cohort profile is the very dataset (n=2,749, mean QoL trajectory pretreatment to 4 years) that supports the kind of multi-phase generalizability and intervention research called for.",same_data_extension,0.7,"Direct: 37309655 was developed on BIG-S 2018-2019 cross-section; 40627066 extends BIG-S to a longitudinal cohort enabling the prospective intervention work the 2023 paper requested."
37547446,2023,J Cancer Surviv,"A multidisciplinary approach and further biological studies are needed to identify mechanisms linking pretreatment endocrine symptoms with prognosis and to establish optimal management strategies for young breast cancer patients.",37669709,2023,"Social support change during YBC treatment as a predictor of RFS in the same CHARM cohort.",same_data_extension,0.55,"Same SMC YBC registry; pivots from endocrine symptoms to psychosocial predictors of the same RFS endpoint."
37547446,2023,J Cancer Surviv,"A multidisciplinary approach and further biological studies are needed to identify mechanisms linking pretreatment endocrine symptoms with prognosis and to establish optimal management strategies for young breast cancer patients.",38472736,2024,"CHARM cohort profile paper formalizing the platform for biological + PRO + reproductive-hormone YBC research.",direct_continuation,0.75,"Cohort profile institutionalizes the multidisciplinary biological-and-PRO platform the 37547446 paper called for."
37669709,2023,Sci Rep,"Further biological studies are required to confirm mechanisms (e.g., inflammation, oxytocin pathways), and health professionals should develop family-based psychosocial interventions including children and fathers to support young breast cancer patients.",38472736,2024,"CHARM cohort profile that bundles multi-omics tumor/blood biobanking enabling inflammation-pathway studies in YBC.",direct_continuation,0.7,"Provides the multi-omics infrastructure the 37669709 mechanism-study call requires."
38472736,2024,J Breast Cancer,not stated,,,,,,No future_work.
38484885,2024,Sci Rep,not stated,,,,,,No future_work.
38843479,2024,JAMA Oncol abstract,"Further research is necessary to observe longer-term benefits of scalp cooling beyond 6 months.",40516881,2025,"Single-arm trial of scalp cooling for PCIA in anthracycline-treated patients - extends the regimen-specific scalp-cooling evidence base.",direct_continuation,0.8,"Same SMC group; extends scalp cooling specifically to the anthracycline subgroup not covered by the 2024 RCT."
38843479,2024,JAMA Oncol abstract,"Further research is necessary to observe longer-term benefits of scalp cooling beyond 6 months.",41490113,2026,"Bi-national PCIA prospective cohort with CHANCE Korea twin cohort (overlapping enrollment), with longer follow-up and harmonized CADS distress.",direct_continuation,0.7,"Provides the multiethnic longer-term observational arm complementing the 2024 RCT's call for longer-term benefit assessment."
39126264,2024,Eur J Radiol,"A future validation study should assess the MRI-DS in non-breast-cancer populations requiring breast MRI, and the scale should be applied to compare patient-reported impact of abbreviated MRI (AB-MRI) versus full dynamic contrast-enhanced MRI for shared decision-making.",,,,,,No MRI-DS extension paper in the corpus.
39429032,2025,Eur Heart J,not stated,,,,,,No future_work.
39775792,2025,Eur Heart J,not stated,,,,,,No future_work (editorial).
39962947,2025,Eur Heart J Cardiovasc Pharmacother,not stated,,,,,,No future_work.
40008373,2025,Aesthet Surg J,"Longitudinal studies to confirm responsiveness of FINE-GL to clinical improvement or deterioration; broader multi-site validation.",,,,,,No FINE-GL followup in the corpus.
40096290,2025,Circulation letter,not stated,,,,,,No future_work (letter).
40131016,2025,Eur Heart J editorial,"Improved observational designs (clearer exposure definitions, handling of dual use, causal-inference frameworks) and long-term cohorts to clarify cardiovascular risk of e-cigarettes.",,,,,,No same-year+ e-cig CV followup in the corpus (39429032 predates this editorial).
40294950,2025,Eur Heart J,"Identification of most appropriate and effective strategies to achieve <1.4 mmol/L LDL-C after PCI; shared decision-making for the 1.4-<1.8 mmol/L group given marginal hard-outcome differences and cost of nonstatin add-ons.",,,,,,No LDL-strategy followup in the corpus.
40516881,2025,abstract,not stated,,,,,,No future_work.
40627066,2025,BMC Cancer,"Use of BIG-S to guide targeted interventions and tailored survivorship-care strategies, especially for Asian breast cancer survivors; integration into early identification and management of persistent symptoms (fatigue, insomnia, sexual dysfunction).",,,,,,No post-2025 BIG-S intervention paper in the corpus.
40863442,2025,Schizophr Res,"Patient-reported outcomes and clinical assessments for therapeutic efficacy; larger cohorts to evaluate exposure-response over time; pharmacokinetic/pharmacogenetic studies on individualized dosing; development of dedicated 1.25 mg tablet formulations outside Japan.",,,,,,No olanzapine followup in the corpus.
40930618,2025,JACC editorial,"Broader application of target trial emulation to evidence-gap populations underrepresented in RCTs; standardized causal-inference frameworks for real-world cardiovascular data.",41572547,2025,"K-NHIS target trial emulation of AR vs IBR breast reconstruction - explicit TTE application to an evidence-gap population.",direct_continuation,0.8,"41572547 instantiates exactly the TTE-for-evidence-gap-populations argument the editorial makes."
41383953,2025,JAMA Pediatr (or similar),"Replication across nations with diverse racial demographics; ethically designed prospective and interventional studies on cardiovascular medications during pregnancy; mechanistic studies on vascular, inflammatory, and pharmacologic pathways linking maternal ASCVD to offspring outcomes.",,,,,,No post-2025 maternal-ASCVD multi-national followup in the corpus.
41432961,2025,Oral Oncol,"Trajectory-based classifications may support early identification of vulnerable survivors and inform risk-stratified supportive care targeting pain, nutrition, and emotional function.",,,,,,No SGC followup post-2025 in the corpus.
41490113,2026,JAMA Oncol,"Large-scale, multiethnic prospective cohorts with harmonized clinical, genetic, and psychosocial data; prospective characterization of ADC-related alopecia; evaluation of pharmacogenetic screening (e.g., rs1202179, CYP3A4, CYP2D6) for risk stratification; culturally tailored preventive interventions.",,,,,,Latest paper in corpus; no possible followup.
41572547,2025,JAMA Surg (or similar),"Integration of mental health screening and age-sensitive, individualized counseling into preoperative decision-making; replication in other healthcare systems.",,,,,,No followup in the corpus.
